donor_id,donor_name,donor_age,donor_color,sample_well,sample_polygon,sample_mri_0,sample_mri_1,sample_mri_2,structure_id,structure_name,structure_abbreviation,structure_color,top_level_structure_id,top_level_structure_name,top_level_structure_abbreviation,top_level_structure_color
309335492,"H14.09.055","","000000",475848370,471926364,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
309335493,"H14.09.056","","000000",475848378,471938745,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
309335494,"H14.09.057","","000000",475848386,471947125,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
309335495,"H14.09.058","","000000",475848394,472347700,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
309335496,"H14.09.059","","000000",475848530,475333014,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
309335497,"H14.09.060","","000000",475848538,475333022,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765648,"H14.09.061","","000000",475848546,474619066,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765649,"H14.09.062","","000000",475848554,475034599,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765650,"H14.09.063","","000000",477135131,475585399,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765651,"H14.09.064","","000000",477135139,475585490,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765653,"H14.09.066","","000000",477135149,475236694,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765654,"H14.09.067","","000000",477135157,475585516,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765655,"H14.09.068","","000000",477135165,475619164,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765656,"H14.09.069","","000000",477135174,475846153,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765657,"H14.09.070","","000000",477135254,475846387,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765658,"H14.09.071","","000000",477135263,475846425,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765659,"H14.09.072","","000000",477135271,475738124,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765660,"H14.09.073","","000000",480148741,476796571,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765661,"H14.09.074","","000000",480148749,476796608,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765662,"H14.09.075","","000000",480148757,476796692,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765663,"H14.09.076","","000000",480148765,476799411,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765664,"H14.09.077","","000000",480148771,476799619,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765666,"H14.09.079","","000000",480149029,477045928,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765667,"H14.09.080","","000000",480149037,477051878,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765668,"H14.09.081","","000000",480149045,477050924,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765669,"H14.09.082","","000000",480149053,477051218,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765670,"H14.09.083","","000000",480149621,478890926,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765673,"H14.09.086","","000000",480149635,478891418,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765674,"H14.09.087","","000000",480149643,478891131,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765675,"H14.09.088","","000000",480149575,478891165,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765676,"H14.09.089","","000000",480149583,479003805,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765677,"H14.09.090","","000000",480149591,478924709,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765678,"H14.09.091","","000000",480149597,478924954,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765679,"H14.09.092","","000000",480149605,478925049,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765680,"H14.09.093","","000000",480735336,479683620,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765681,"H14.09.094","","000000",480735344,479683671,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
